startVelocity;  endVelocity;         doba;        dlzka
          20;           20;         0.60;       3.3333
          20;           20;         0.70;       3.8889
          20;           20;         0.80;       4.4444
          20;           20;         0.90;       5.0000
          20;           20;         1.00;       5.5556
          20;           20;         1.10;       6.1111
          20;           20;         1.20;       6.6667
          20;           20;         1.30;       7.2222
          20;           22;         0.60;       3.5000
          20;           22;         0.70;       4.0833
          20;           22;         0.80;       4.6667
          20;           22;         0.90;       5.2500
          20;           22;         1.00;       5.8333
          20;           22;         1.10;       6.4167
          20;           22;         1.20;       7.0000
          20;           22;         1.30;       7.5833
          20;           24;         0.60;       3.6667
          20;           24;         0.70;       4.2778
          20;           24;         0.80;       4.8889
          20;           24;         0.90;       5.5000
          20;           24;         1.00;       6.1111
          20;           24;         1.10;       6.7222
          20;           24;         1.20;       7.3333
          20;           24;         1.30;       7.9444
          20;           26;         0.60;       3.8333
          20;           26;         0.70;       4.4722
          20;           26;         0.80;       5.1111
          20;           26;         0.90;       5.7500
          20;           26;         1.00;       6.3889
          20;           26;         1.10;       7.0278
          20;           26;         1.20;       7.6667
          20;           26;         1.30;       8.3056
          20;           28;         0.60;       4.0000
          20;           28;         0.70;       4.6667
          20;           28;         0.80;       5.3333
          20;           28;         0.90;       6.0000
          20;           28;         1.00;       6.6667
          20;           28;         1.10;       7.3333
          20;           28;         1.20;       8.0000
          20;           28;         1.30;       8.6667
          30;           30;         0.60;       5.0000
          30;           30;         0.70;       5.8333
          30;           30;         0.80;       6.6667
          30;           30;         0.90;       7.5000
          30;           30;         1.00;       8.3333
          30;           30;         1.10;       9.1667
          30;           30;         1.20;      10.0000
          30;           30;         1.30;      10.8333
          30;           32;         0.60;       5.1667
          30;           32;         0.70;       6.0278
          30;           32;         0.80;       6.8889
          30;           32;         0.90;       7.7500
          30;           32;         1.00;       8.6111
          30;           32;         1.10;       9.4722
          30;           32;         1.20;      10.3333
          30;           32;         1.30;      11.1944
          30;           34;         0.60;       5.3333
          30;           34;         0.70;       6.2222
          30;           34;         0.80;       7.1111
          30;           34;         0.90;       8.0000
          30;           34;         1.00;       8.8889
          30;           34;         1.10;       9.7778
          30;           34;         1.20;      10.6667
          30;           34;         1.30;      11.5556
          30;           36;         0.60;       5.5000
          30;           36;         0.70;       6.4167
          30;           36;         0.80;       7.3333
          30;           36;         0.90;       8.2500
          30;           36;         1.00;       9.1667
          30;           36;         1.10;      10.0833
          30;           36;         1.20;      11.0000
          30;           36;         1.30;      11.9167
          30;           38;         0.60;       5.6667
          30;           38;         0.70;       6.6111
          30;           38;         0.80;       7.5556
          30;           38;         0.90;       8.5000
          30;           38;         1.00;       9.4444
          30;           38;         1.10;      10.3889
          30;           38;         1.20;      11.3333
          30;           38;         1.30;      12.2778
          40;           40;         0.60;       6.6667
          40;           40;         0.70;       7.7778
          40;           40;         0.80;       8.8889
          40;           40;         0.90;      10.0000
          40;           40;         1.00;      11.1111
          40;           40;         1.10;      12.2222
          40;           40;         1.20;      13.3333
          40;           40;         1.30;      14.4444
          40;           42;         0.60;       6.8333
          40;           42;         0.70;       7.9722
          40;           42;         0.80;       9.1111
          40;           42;         0.90;      10.2500
          40;           42;         1.00;      11.3889
          40;           42;         1.10;      12.5278
          40;           42;         1.20;      13.6667
          40;           42;         1.30;      14.8056
          40;           44;         0.60;       7.0000
          40;           44;         0.70;       8.1667
          40;           44;         0.80;       9.3333
          40;           44;         0.90;      10.5000
          40;           44;         1.00;      11.6667
          40;           44;         1.10;      12.8333
          40;           44;         1.20;      14.0000
          40;           44;         1.30;      15.1667
          40;           46;         0.60;       7.1667
          40;           46;         0.70;       8.3611
          40;           46;         0.80;       9.5556
          40;           46;         0.90;      10.7500
          40;           46;         1.00;      11.9444
          40;           46;         1.10;      13.1389
          40;           46;         1.20;      14.3333
          40;           46;         1.30;      15.5278
          40;           48;         0.60;       7.3333
          40;           48;         0.70;       8.5556
          40;           48;         0.80;       9.7778
          40;           48;         0.90;      11.0000
          40;           48;         1.00;      12.2222
          40;           48;         1.10;      13.4444
          40;           48;         1.20;      14.6667
          40;           48;         1.30;      15.8889
          50;           50;         0.60;       8.3333
          50;           50;         0.70;       9.7222
          50;           50;         0.80;      11.1111
          50;           50;         0.90;      12.5000
          50;           50;         1.00;      13.8889
          50;           50;         1.10;      15.2778
          50;           50;         1.20;      16.6667
          50;           50;         1.30;      18.0556
          50;           52;         0.60;       8.5000
          50;           52;         0.70;       9.9167
          50;           52;         0.80;      11.3333
          50;           52;         0.90;      12.7500
          50;           52;         1.00;      14.1667
          50;           52;         1.10;      15.5833
          50;           52;         1.20;      17.0000
          50;           52;         1.30;      18.4167
          50;           54;         0.60;       8.6667
          50;           54;         0.70;      10.1111
          50;           54;         0.80;      11.5556
          50;           54;         0.90;      13.0000
          50;           54;         1.00;      14.4444
          50;           54;         1.10;      15.8889
          50;           54;         1.20;      17.3333
          50;           54;         1.30;      18.7778
          50;           56;         0.60;       8.8333
          50;           56;         0.70;      10.3056
          50;           56;         0.80;      11.7778
          50;           56;         0.90;      13.2500
          50;           56;         1.00;      14.7222
          50;           56;         1.10;      16.1944
          50;           56;         1.20;      17.6667
          50;           56;         1.30;      19.1389
          50;           58;         0.60;       9.0000
          50;           58;         0.70;      10.5000
          50;           58;         0.80;      12.0000
          50;           58;         0.90;      13.5000
          50;           58;         1.00;      15.0000
          50;           58;         1.10;      16.5000
          50;           58;         1.20;      18.0000
          50;           58;         1.30;      19.5000
          60;           60;         0.60;      10.0000
          60;           60;         0.70;      11.6667
          60;           60;         0.80;      13.3333
          60;           60;         0.90;      15.0000
          60;           60;         1.00;      16.6667
          60;           60;         1.10;      18.3333
          60;           60;         1.20;      20.0000
          60;           60;         1.30;      21.6667
          60;           62;         0.60;      10.1667
          60;           62;         0.70;      11.8611
          60;           62;         0.80;      13.5556
          60;           62;         0.90;      15.2500
          60;           62;         1.00;      16.9444
          60;           62;         1.10;      18.6389
          60;           62;         1.20;      20.3333
          60;           62;         1.30;      22.0278
          60;           64;         0.60;      10.3333
          60;           64;         0.70;      12.0556
          60;           64;         0.80;      13.7778
          60;           64;         0.90;      15.5000
          60;           64;         1.00;      17.2222
          60;           64;         1.10;      18.9444
          60;           64;         1.20;      20.6667
          60;           64;         1.30;      22.3889
          60;           66;         0.60;      10.5000
          60;           66;         0.70;      12.2500
          60;           66;         0.80;      14.0000
          60;           66;         0.90;      15.7500
          60;           66;         1.00;      17.5000
          60;           66;         1.10;      19.2500
          60;           66;         1.20;      21.0000
          60;           66;         1.30;      22.7500
          60;           68;         0.60;      10.6667
          60;           68;         0.70;      12.4444
          60;           68;         0.80;      14.2222
          60;           68;         0.90;      16.0000
          60;           68;         1.00;      17.7778
          60;           68;         1.10;      19.5556
          60;           68;         1.20;      21.3333
          60;           68;         1.30;      23.1111
          70;           70;         0.60;      11.6667
          70;           70;         0.70;      13.6111
          70;           70;         0.80;      15.5556
          70;           70;         0.90;      17.5000
          70;           70;         1.00;      19.4444
          70;           70;         1.10;      21.3889
          70;           70;         1.20;      23.3333
          70;           70;         1.30;      25.2778
          70;           72;         0.60;      11.8333
          70;           72;         0.70;      13.8056
          70;           72;         0.80;      15.7778
          70;           72;         0.90;      17.7500
          70;           72;         1.00;      19.7222
          70;           72;         1.10;      21.6944
          70;           72;         1.20;      23.6667
          70;           72;         1.30;      25.6389
          70;           74;         0.60;      12.0000
          70;           74;         0.70;      14.0000
          70;           74;         0.80;      16.0000
          70;           74;         0.90;      18.0000
          70;           74;         1.00;      20.0000
          70;           74;         1.10;      22.0000
          70;           74;         1.20;      24.0000
          70;           74;         1.30;      26.0000
          70;           76;         0.60;      12.1667
          70;           76;         0.70;      14.1944
          70;           76;         0.80;      16.2222
          70;           76;         0.90;      18.2500
          70;           76;         1.00;      20.2778
          70;           76;         1.10;      22.3056
          70;           76;         1.20;      24.3333
          70;           76;         1.30;      26.3611
          70;           78;         0.60;      12.3333
          70;           78;         0.70;      14.3889
          70;           78;         0.80;      16.4444
          70;           78;         0.90;      18.5000
          70;           78;         1.00;      20.5556
          70;           78;         1.10;      22.6111
          70;           78;         1.20;      24.6667
          70;           78;         1.30;      26.7222
          80;           80;         0.60;      13.3333
          80;           80;         0.70;      15.5556
          80;           80;         0.80;      17.7778
          80;           80;         0.90;      20.0000
          80;           80;         1.00;      22.2222
          80;           80;         1.10;      24.4444
          80;           80;         1.20;      26.6667
          80;           80;         1.30;      28.8889
          80;           82;         0.60;      13.5000
          80;           82;         0.70;      15.7500
          80;           82;         0.80;      18.0000
          80;           82;         0.90;      20.2500
          80;           82;         1.00;      22.5000
          80;           82;         1.10;      24.7500
          80;           82;         1.20;      27.0000
          80;           82;         1.30;      29.2500
          80;           84;         0.60;      13.6667
          80;           84;         0.70;      15.9444
          80;           84;         0.80;      18.2222
          80;           84;         0.90;      20.5000
          80;           84;         1.00;      22.7778
          80;           84;         1.10;      25.0556
          80;           84;         1.20;      27.3333
          80;           84;         1.30;      29.6111
          80;           86;         0.60;      13.8333
          80;           86;         0.70;      16.1389
          80;           86;         0.80;      18.4444
          80;           86;         0.90;      20.7500
          80;           86;         1.00;      23.0556
          80;           86;         1.10;      25.3611
          80;           86;         1.20;      27.6667
          80;           86;         1.30;      29.9722
          80;           88;         0.60;      14.0000
          80;           88;         0.70;      16.3333
          80;           88;         0.80;      18.6667
          80;           88;         0.90;      21.0000
          80;           88;         1.00;      23.3333
          80;           88;         1.10;      25.6667
          80;           88;         1.20;      28.0000
          80;           88;         1.30;      30.3333
          90;           90;         0.60;      15.0000
          90;           90;         0.70;      17.5000
          90;           90;         0.80;      20.0000
          90;           90;         0.90;      22.5000
          90;           90;         1.00;      25.0000
          90;           90;         1.10;      27.5000
          90;           90;         1.20;      30.0000
          90;           90;         1.30;      32.5000
          90;           92;         0.60;      15.1667
          90;           92;         0.70;      17.6944
          90;           92;         0.80;      20.2222
          90;           92;         0.90;      22.7500
          90;           92;         1.00;      25.2778
          90;           92;         1.10;      27.8056
          90;           92;         1.20;      30.3333
          90;           92;         1.30;      32.8611
          90;           94;         0.60;      15.3333
          90;           94;         0.70;      17.8889
          90;           94;         0.80;      20.4444
          90;           94;         0.90;      23.0000
          90;           94;         1.00;      25.5556
          90;           94;         1.10;      28.1111
          90;           94;         1.20;      30.6667
          90;           94;         1.30;      33.2222
          90;           96;         0.60;      15.5000
          90;           96;         0.70;      18.0833
          90;           96;         0.80;      20.6667
          90;           96;         0.90;      23.2500
          90;           96;         1.00;      25.8333
          90;           96;         1.10;      28.4167
          90;           96;         1.20;      31.0000
          90;           96;         1.30;      33.5833
          90;           98;         0.60;      15.6667
          90;           98;         0.70;      18.2778
          90;           98;         0.80;      20.8889
          90;           98;         0.90;      23.5000
          90;           98;         1.00;      26.1111
          90;           98;         1.10;      28.7222
          90;           98;         1.20;      31.3333
          90;           98;         1.30;      33.9444
